idnum,Country,Name,height,res_area,res_cap,lat,lon,ELEV_MASL,airtempcld,airtempwrm,koppen,POWER_KW,TYPE,maxcontour
1,Brazil,Água Limpa,117.7,7.13,42.86,-15.37154961,-53.36909025,467,25.11602097,24.06235657,3,320000,UHE, 
2,Brazil,Águas da Serra,148.148,0.02,0.03,-26.78150833,-49.40038333,286.5,20.53195882,13.91670054,14,22500,PCH, 
3,Brazil,Âmbar,27.929,0.4797,2.13,-26.72222165,-53.34393778,290.8,23.10529395,15.61207227,14,5100,PCH, 
4,Brazil,Açungui 2E,19.217,0.29,2.48,-25.13823056,-49.57575825,502,21.68391677,15.14558704,15,5900,PCH, 
5,Brazil,Açungui 2F,34.914,0.82,7.67,-25.15706944,-49.55992222,534,21.78104473,15.20388858,15,9900,PCH, 
6,Brazil,Alto Alegre,14.949,0.83,2.21,-27.36222778,-51.68704722,427,22.30290394,14.56488618,14,17400,PCH, 
7,Brazil,Alto Guaporé 2,39.05,0.158,0.12,-14.87983333,-58.87400556,523,24.06922522,22.69091472,3,7000,PCH, 
8,Brazil,Apertadinho,132.88,2.87,3170,-12.51242356,-60.30808474,444.8,24.10280716,24.34819759,3,30000,PCH, 
9,Brazil,Barreiros,47.256,2.07,19.01,-26.68431389,-52.17900556,829.96,22.12206879,14.90965576,14,22140,PCH, 
10,Brazil,Bedim,33.088,0.56,1.5,-26.09132778,-52.95588889,568,22.89139613,15.60585775,14,6000,PCH, 
11,Brazil,Bela Vista,17.05,2.36,8.12,-25.80694445,-52.89861114,430,23.49736786,16.22596741,14,29000,PCH, 
12,Brazil,Bonet,76.23,3.34,25.3,-26.56859112,-50.59124714,939.4,20.11014605,13.02464267,15,5200,PCH, 
13,Brazil,Brejaúba,33,0.44,4.25,-19.19500002,-43.12305556,465,22.94024462,18.38425383,3,15926,PCH, 
14,Brazil,Cabuí,18.722,1.09,7.92,-22.00527778,-43.32416667,355,23.11863098,18.0347758,11,16065,PCH, 
15,Brazil,Cachoeira,14.9,42.08,236,-6.75277778,-43.08138889,116.42,28.24557356,28.98336529,3,63000,UHE, 
16,Brazil,Cachoeira Cinco Veados,41.8,1.3,13.21,-29.41888889,-54.04916667,199.5,23.61464233,14.36166687,14,16227,PCH, 
17,Brazil,Cachoeira Formosa,13.2,2.13,2.13,-9.98649858,-63.76029954,120,25.49918213,26.45423279,3,12300,PCH, 
18,Brazil,Castelhano,14.1,76.56,444,-5.742222,-43.091389,86,27.55739355,28.17985785,3,64000,UHE, 
19,Brazil,Cavernoso IV,18.7,0.26,0.668,-25.42508314,-52.08694451,604,22.17971224,15.63416903,14,6000,PCH, 
20,Brazil,Clairto Zonta,213.18,0.095,0.1,-24.30348323,-51.34742901,621.5,23.34005225,16.79838187,14,15000,PCH, 
21,Brazil,Cobre Km 19,74.14,2.9814,35.488,-25.11859181,-52.38657496,555,22.9399686,16.47782527,14,14200,PCH, 
22,Brazil,Confluência,116.71,0.252,1.868,-24.91966072,-51.40911105,635,21.46662571,15.18203474,14,27000,PCH, 
23,Brazil,Davinópolis,41.5,43,506,-18.20972222,-47.51611111,700,24.28050486,21.38361342,12,74000,UHE, 
24,Brazil,Dias,26.4,0.0049,0.01,-18.88888889,-48.32138889,762,24.37133287,21.45278089,12,6606,PCH, 
25,Brazil,Dois Saltos,123.97,0.13,0.7,-25.17666851,-50.94027777,711.6,21.9238659,15.0488663,14,30000,PCH, 
26,Brazil,Estreito,14.1,66.33,308,-6.32805556,-42.85583333,101,28.19887343,28.96164414,3,56000,UHE, 
27,Brazil,Faveiro,25.465,11.14,45.7,-12.39530278,-57.89727778,275,25.14717954,25.68157683,3,20000,PCH, 
28,Brazil,Fazenda do Salto,45.54,0.657,3.1,-24.637578,-53.102642,340,23.90457935,17.50984968,14,9850,PCH, 
29,Brazil,Forquilha,46.53,0.007393,0.01,-26.00543889,-52.18349722,697.3,22.86188616,15.78542858,14,5500,PCH, 
30,Brazil,Forquilha IV - Luciano Barancelli,24.75,0.41,1.24,-27.61434426,-51.74991153,501,22.81776534,14.42319719,14,13000,PCH, 
31,Brazil,Foz da Anta,45.43,1.14,2.85,-23.85333333,-49.95777778,535.3,24.07657181,17.87051345,14,12000,PCH, 
32,Brazil,Foz do Apiacás,49.3,89.6,940.99,-9.206667,-57.0875,185,25.36060182,26.8066543,2,275000,UHE, 
33,Brazil,Foz do Cedro,16.005,2.95,15.05,-12.75140279,-56.03242234,335,25.09056279,25.33948979,3,24000,PCH, 
34,Brazil,Foz do Estrela,69.96,1.39,23.86,-26.09317222,-51.87782778,675,20.9711379,14.08344063,14,29500,PCH, 
35,Brazil,Foz do Santana,16.5,1.39,2.51,-25.866147,-52.852425,445,23.45715608,16.20307991,14,25000,PCH, 
36,Brazil,Gameleira,17.27,5.08,21.451,-16.6457274,-47.83224487,761,23.79631454,21.54612457,3,14000,PCH, 
37,Brazil,Ibicuí II,25.509,0.58,3.6,-27.51083333,-51.17722222,790,21.10061315,13.49862669,14,4000,PCH, 
38,Brazil,Ibituruna,18.15,1.06,4.2,-21.1144,-44.766,842,22.39167938,17.75299886,12,30000,PCH, 
39,Brazil,Invernadinha,128.37,0.03,0.07,-26.03795,-52.17636111,814,22.73152924,15.67716715,14,18000,PCH, 
40,Brazil,Itaocara I,31.3,41.4,412.76,-21.69423222,-42.14842238,89.6,26.0437567,20.98721555,2,150000,UHE, 
41,Brazil,Itiquira III,24.2,0.109,0.74,-17.086364,-54.911678,180.5,26.72972891,24.3518689,3,23000,PCH, 
42,Brazil,Jaspe,28.05,0.634,3.92,-26.68361944,-53.27920833,336.2,23.00204391,15.55855815,14,5100,PCH, 
43,Brazil,Jesuíta,16.5,13.36,95.58,-13.317222,-59.033333,405,24.39211197,23.77989807,3,22300,PCH, 
44,Brazil,Lúcia Cherobim,45.881,1.47,12.47,-25.55202677,-49.85356792,824,20.89170199,14.46073111,15,28000,PCH, 
45,Brazil,Lacerdópolis,14.3,0.17,0.59,-27.27119279,-51.5484068,480.1,22.22781296,14.57382711,14,9600,PCH, 
46,Brazil,Linha Rica,8.8,0.2944,0.936,-27.12,-51.40666667,533,20.46204602,13.3332637,14,8000,PCH, 
47,Brazil,Macacos,40.04,0.23,1.03,-24.07222218,-49.62416669,551.7,23.08767964,16.73108901,14,9900,PCH, 
48,Brazil,Machadinho I,13.2,12.7,18.91,-9.44694444,-61.9875,107,25.65519867,27.23393453,3,10500,PCH, 
49,Brazil,Manuel Alves,23.21,22.01,22.5,-11.542097,-46.989211,405.1,25.68127468,25.94838957,3,8000,PCH, 
50,Brazil,Matrinchã,52.8,0.1,0.46,-13.60416667,-57.39166667,425,24.88640289,24.2082199,3,29700,PCH, 
51,Brazil,Monjolo,28.6,0.32,1.45,-19.1711111,-43.14027777,491,22.80384777,18.23253836,3,13580,PCH, 
52,Brazil,Morro Grande,68.2,0.1897,0.681,-28.559431,-51.309497,640,20.88250914,12.87732406,14,9800,PCH, 
53,Brazil,Mutum,110,2.67,44.9,-17.99277778,-53.40833333,450,24.09138489,22.23967387,3,8500,PCH, 
54,Brazil,Nova União,64.9,2.63,14.837,-26.800107,-52.583333,424,22.92810088,15.42296784,14,32400,UHE, 
55,Brazil,Paranã,26.4,98.3,709.38,-12.66777799,-47.81277759,287,26.66282117,26.44691021,3,90000,UHE, 
56,Brazil,Perdidos,31.482,3.13,35.5,-13.795025,-56.70128333,333,25.15964831,24.40397977,3,28000,PCH, 
57,Brazil,Piarucum,20.9,3.24,21.81,-11.98087778,-46.64203056,386,25.43289334,25.55286777,3,10000,PCH, 
58,Brazil,Pira,18.843,0.34,1.19,-27.42611111,-51.78833333,391,22.45553987,14.54671213,14,23000.4,PCH, 
59,Brazil,Piracanjuba Eixo 1,91.3,2.78,26.926,-14.30822028,-46.21181472,683,24.30923309,23.07776286,3,9000,PCH, 
60,Brazil,Pirapetinga,18.15,0.68,4.15,-21.11268184,-44.79021978,825.5,22.39167938,17.75299886,12,30000,PCH, 
61,Brazil,Poção,12.21,0.35,2.47,-11.762558,-46.761964,446,25.95606641,26.10430457,3,6000,PCH, 
62,Brazil,Ponte Serrada,16.049,0.81,3.58,-26.77120177,-52.03353625,796,20.45823691,13.56519886,14,4140,PCH, 
63,Brazil,Quebrada Funda,49.5,3.7,58.503,-28.80255278,-50.43019722,640,19.80798416,11.86666463,14,16000,PCH, 
64,Brazil,Ribeiro Gonçalves,55.7,237.76,3204,-7.575,-45.321389,243,26.89112153,28.00937786,3,113000,UHE, 
65,Brazil,Rincão São Miguel,21.659,1.73,12.92,-29.45084253,-54.09279352,159.5,23.61464233,14.36166687,14,9750,PCH, 
66,Brazil,Rio Maria (Antiga Paranatinga I),16.159,4.244,27.2,-14.005,-53.33444444,359,25.44595642,24.76283875,3,22300,PCH, 
67,Brazil,Rodeio,62.755,0.0059,0.02,-26.80894444,-49.353425,126.5,20.70259462,13.99481469,14,9750,PCH, 
68,Brazil,São Bartolomeu,20.999,3.31,23.83,-16.48126951,-47.77584156,781,23.80969221,21.63025049,3,12000,PCH, 
69,Brazil,São Luiz,62.975,0.16,0.96,-19.965558,-41.076594,256,24.35180379,19.904253,2,10500,PCH, 
70,Brazil,Salgado,28.6,4.36,28.935,-16.39929444,-47.79880555,807,23.61011629,21.44915299,3,16000,PCH, 
71,Brazil,Salto Grande,43.2,9.41,127.7,-25.992222,-52.739444,502,23.2977107,16.11232777,14,47000,UHE, 
72,Brazil,Santa Branca,46.3,14.08,151.16,-24.68110383,-50.39916449,765,21.65867108,15.36551025,15,62000,UHE, 
73,Brazil,Santa Isabel,29.9,159,1850,-6.133333,-48.333333,125,26.28459015,27.64720256,3,1087000,UHE, 
74,Brazil,Santa Luzia,68.2,0.41,0.05,-12.55527778,-45.09694444,649,25.03500214,23.81399638,3,15500,PCH, 
75,Brazil,Santa Rosa,30.844,1.41,4.69,-26.67631667,-52.09606556,858,21.20281036,14.17547445,14,9900,PCH, 
76,Brazil,Santo Antônio do Jacuí,12.98,0.524,1.72,-28.65585278,-52.70406944,388.68,22.85375366,14.11623739,14,5200,PCH, 
77,Brazil,Sede II,43.087,0.03,0.03,-28.370981,-53.879631,291,24.3512593,15.42981206,14,7000,PCH, 
78,Brazil,Sumidouro,50.6,0.52,3.22,-19.11666668,-43.40000001,575,22.64858846,18.08894992,3,14880,PCH, 
79,Brazil,Tio Hugo,30.217,1.053,3.24,-28.59027768,-52.58166652,441,22.73677444,14.18362369,14,9800,PCH, 
80,Brazil,Três Capões Novo,22.935,0.29,1014,-25.46353694,-51.66077917,914,20.9592778,14.68643938,14,10000,PCH,
81,Benin,Adjarala,49.5,95,630,6.899374,1.605141,47.1,28.05568237,25.68502197,3,147, ,96.6
82,Ethiopia,Baro 2 + Genji,30,6.2,60,8.23,34.96,652.125,22.30161438,19.64674174,9,470, ,682.125
83,Ethiopia,Baro 1,80,103.1,800,8.16,35.16,1141.6,22.335848,19.67106949,9,166, ,1221.6
84,Ethiopia,Grand Ethiopian Renaissance Dam (GERD),175,1561,79000,11.215278,35.093056,517.4166667,28.46949615,26.13083801,3,0, ,692.4166667
85,Ethiopia,Genale III,110,98,2600,4.2667,42.0167,185.25,29.27761113,29.20883801,4,258, ,295.25
86,Ghana,Awisam,34,267.1,2724,6.52776,-0.976729,184.2,27.4449284,25.2535993,3,88, ,218.2
87,Ghana,Juale,40,4179.8,7200,8.6833,0.1167,95.75,28.12986755,26.12692057,3,87, ,135.75
88,Ghana,Pwalugu,50,1160.8,3260,10.605,-0.8589,139.4761905,28.81493191,27.4362608,3,56, ,189.4761905
90,Guinea,Amaria,35,25,262,10.244,-13.6015,33.47826087,26.18476166,25.13498157,2,300, ,68.47826087
91,Guinea,Boureya,64,416.8,5500,11.716667,-10.75,506.6923077,26.17705186,26.08171634,3,120, ,570.6923077
92,Guinea,Digan,62,29.9,337,11.8508,-11.8333,401.2857143,25.91467008,25.51718028,3,93, ,463.2857143
93,Guinea,Fomi,60,507,6000,10.5187,-9.71617,375,26.46925834,25.65847112,3,110, ,435
94,Guinea,Koukoutamba,75,363.6,6200,11.2675,-11.382,506.6923077,24.764957,24.04487737,3,292, ,581.6923077
95,Guinea,Souapiti,106.5,253,17300,10.4251,-13.2485,162.2,25.92984398,24.61122846,3,600, ,268.7
96,Kenya,Nandi Forest,60,12.5,275,0.182978,34.843073,1493.2,22.40290394,20.93559825,1,0, ,1553.2
97,Mali,Badoumbe,75,7701,10000,13.72,-9.44,203.9230769,27.61792145,29.43460185,3,70, ,270
98,Mali,Baoule 3,30,201.8,2.8,12.8919,-8.6211,332.5555556,26.14602461,27.48099567,3,24, ,362.5555556
99,Mali,Gouina (OMVS),20,657.2,3943,13.91,-11.1,98.5,27.89911763,30.64960124,6,140, ,118.5
100,Mali,Labbezanga,15,44.36,664,15,0.66,231.4,25.97801634,31.9964976,4,65, ,246.4
101,Mali,Taoussa,30,1572,3150,16.971099,-0.535841,254.8333333,24.03281097,33.68935547,4,25, ,284.8333333
